Python;80;Je sais utiliser le langage de programmation Python depuis trois ans. Je l'ai appris au lycée en spécialité Numérique et Sciences Informatiques.;./images/python.webp;
Java;40;J'apprends le langage de programmation Java depuis septembre 2023.;./images/java.webp;
PHP;30;J'ai quelques notions de PHP. J'ai utilisé ce langage de programmation pour concevoir certaines pages de ce site web.;./images/elephant-php.webp;
HTML;50;J'apprends le langage HTML pour créer des sites web, comme celui-ci. J'ai réalisé mon premier petit site web en 2021, au lycée. Cependant, c'est depuis la rentrée 2023 que j'ai réellement des cours axés sur le langage HTML.;./images/html.webp;
CSS;65;J'utilise le langage CSS pour mettre en forme mes pages HTML et leur donner du style.;./images/css.webp;
SQL;50;J'ai utilisé le langage SQL en classe de terminale pour travailler sur des bases de données.;./images/sql.webp;
Affinity Photo;70;J'apprends à utiliser le logiciel Affinity Photo depuis septembre 2023.;./images/affinity-photo.webp;
Affinity Designer;55;J'apprends à utiliser le logiciel Affinity Designer depuis septembre 2023. J'ai déjà créé des logos avec ce logiciel.;./images/affinity-designer.webp;
Affinity Publisher;40;Je commence à apprendre à me servir du logiciel de retouche photo Affinity Publisher qui sert à créer des mises en pages, souvent destinées à l'impression.;./images/affinity-publisher.webp;
DaVinci Resolve;60;J'utilise le logiciel DaVinci Resolve pour monter des vidéos ou mixer des pistes audio.;./images/davinci-resolve.webp;
Figma;30;J'ai utilisé l'outil Figma pour faire la maquette de ce site web.;./images/figma-logo.svg;
